**Overall Accuracy**: 87.23%

**Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| Employee Name               |                 100 |       100 |            0 |       1    |               0       |
| Employer Name               |                 100 |        97 |            3 |       0.97 |               1.80723 |
| Federal Income Tax Withheld |                 100 |        96 |            4 |       0.96 |               2.40964 |
| Field Count Check           |                 100 |       100 |            0 |       1    |               0       |
| Medicare Wages and Tips     |                 100 |        62 |           38 |       0.62 |              22.8916  |
| Social Security Wages       |                 100 |        75 |           25 |       0.75 |              15.0602  |
| State 1                     |                 100 |        91 |            9 |       0.91 |               5.42169 |
| State 1 Income Tax Withheld |                 100 |        77 |           23 |       0.77 |              13.8554  |
| State 1 Wages and Tips      |                 100 |        94 |            6 |       0.94 |               3.61446 |
| State 2                     |                 100 |        86 |           14 |       0.86 |               8.43373 |
| State 2 Income Tax Withheld |                 100 |        89 |           11 |       0.89 |               6.62651 |
| State 2 Wages and Tips      |                 100 |        88 |           12 |       0.88 |               7.22892 |
| Wages and Tips              |                 100 |        79 |           21 |       0.79 |              12.6506  |

**Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|               0 |             13 |         9 |            4 |   0.692308 |
|               1 |             13 |         8 |            5 |   0.615385 |
|               2 |             13 |         7 |            6 |   0.538462 |
|               3 |             13 |        10 |            3 |   0.769231 |
|               4 |             13 |        10 |            3 |   0.769231 |
|               5 |             13 |         5 |            8 |   0.384615 |
|               6 |             13 |         8 |            5 |   0.615385 |
|               7 |             13 |         6 |            7 |   0.461538 |
|               8 |             13 |         8 |            5 |   0.615385 |
|               9 |             13 |         8 |            5 |   0.615385 |
|              10 |             13 |         9 |            4 |   0.692308 |
|              11 |             13 |         5 |            8 |   0.384615 |
|              12 |             13 |         6 |            7 |   0.461538 |
|              13 |             13 |         8 |            5 |   0.615385 |
|              14 |             13 |         5 |            8 |   0.384615 |
|              15 |             13 |         2 |           11 |   0.153846 |
|              16 |             13 |         8 |            5 |   0.615385 |
|              17 |             13 |         5 |            8 |   0.384615 |
|              18 |             13 |         8 |            5 |   0.615385 |
|              19 |             13 |         6 |            7 |   0.461538 |
|              20 |             13 |         8 |            5 |   0.615385 |
|              21 |             13 |         4 |            9 |   0.307692 |
|              22 |             13 |         7 |            6 |   0.538462 |
|              23 |             13 |         6 |            7 |   0.461538 |
|              24 |             13 |         6 |            7 |   0.461538 |
|              25 |             13 |        13 |            0 |   1        |
|              26 |             13 |        13 |            0 |   1        |
|              27 |             13 |        13 |            0 |   1        |
|              28 |             13 |        13 |            0 |   1        |
|              29 |             13 |        13 |            0 |   1        |
|              30 |             13 |        13 |            0 |   1        |
|              31 |             13 |        13 |            0 |   1        |
|              32 |             13 |        13 |            0 |   1        |
|              33 |             13 |        13 |            0 |   1        |
|              34 |             13 |        13 |            0 |   1        |
|              35 |             13 |        13 |            0 |   1        |
|              36 |             13 |        13 |            0 |   1        |
|              37 |             13 |        13 |            0 |   1        |
|              38 |             13 |        13 |            0 |   1        |
|              39 |             13 |        13 |            0 |   1        |
|              40 |             13 |        13 |            0 |   1        |
|              41 |             13 |        13 |            0 |   1        |
|              42 |             13 |        13 |            0 |   1        |
|              43 |             13 |        13 |            0 |   1        |
|              44 |             13 |        13 |            0 |   1        |
|              45 |             13 |        13 |            0 |   1        |
|              46 |             13 |        13 |            0 |   1        |
|              47 |             13 |        13 |            0 |   1        |
|              48 |             13 |        13 |            0 |   1        |
|              49 |             13 |        13 |            0 |   1        |
|              50 |             13 |        13 |            0 |   1        |
|              51 |             13 |        13 |            0 |   1        |
|              52 |             13 |        13 |            0 |   1        |
|              53 |             13 |        13 |            0 |   1        |
|              54 |             13 |        13 |            0 |   1        |
|              55 |             13 |        13 |            0 |   1        |
|              56 |             13 |        13 |            0 |   1        |
|              57 |             13 |        13 |            0 |   1        |
|              58 |             13 |        13 |            0 |   1        |
|              59 |             13 |        13 |            0 |   1        |
|              60 |             13 |        13 |            0 |   1        |
|              61 |             13 |        13 |            0 |   1        |
|              62 |             13 |        13 |            0 |   1        |
|              63 |             13 |        13 |            0 |   1        |
|              64 |             13 |        13 |            0 |   1        |
|              65 |             13 |        13 |            0 |   1        |
|              66 |             13 |        13 |            0 |   1        |
|              67 |             13 |        13 |            0 |   1        |
|              68 |             13 |        13 |            0 |   1        |
|              69 |             13 |        13 |            0 |   1        |
|              70 |             13 |        13 |            0 |   1        |
|              71 |             13 |        13 |            0 |   1        |
|              72 |             13 |        13 |            0 |   1        |
|              73 |             13 |        13 |            0 |   1        |
|              74 |             13 |        13 |            0 |   1        |
|              75 |             13 |        12 |            1 |   0.923077 |
|              76 |             13 |        13 |            0 |   1        |
|              77 |             13 |        12 |            1 |   0.923077 |
|              78 |             13 |        12 |            1 |   0.923077 |
|              79 |             13 |        12 |            1 |   0.923077 |
|              80 |             13 |        12 |            1 |   0.923077 |
|              81 |             13 |        12 |            1 |   0.923077 |
|              82 |             13 |        13 |            0 |   1        |
|              83 |             13 |        12 |            1 |   0.923077 |
|              84 |             13 |        13 |            0 |   1        |
|              85 |             13 |        13 |            0 |   1        |
|              86 |             13 |        13 |            0 |   1        |
|              87 |             13 |        12 |            1 |   0.923077 |
|              88 |             13 |        13 |            0 |   1        |
|              89 |             13 |        13 |            0 |   1        |
|              90 |             13 |        13 |            0 |   1        |
|              91 |             13 |        13 |            0 |   1        |
|              92 |             13 |        12 |            1 |   0.923077 |
|              93 |             13 |        12 |            1 |   0.923077 |
|              94 |             13 |        13 |            0 |   1        |
|              95 |             13 |        12 |            1 |   0.923077 |
|              96 |             13 |        12 |            1 |   0.923077 |
|              97 |             13 |        12 |            1 |   0.923077 |
|              98 |             13 |        13 |            0 |   1        |
|              99 |             13 |        13 |            0 |   1        |

**Form Type Summary**:
| Form Type   |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| ADP1        |                 325 |       172 |          153 |   0.529231 |              92.1687  |
| ADP2        |                 325 |       325 |            0 |   1        |               0       |
| IRS1        |                 325 |       325 |            0 |   1        |               0       |
| IRS2        |                 325 |       312 |           13 |   0.96     |               7.83133 |
