**Overall Accuracy**: 97.23%

**Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| Employee Name               |                 100 |       100 |            0 |       1    |               0       |
| Employer Name               |                 100 |        97 |            3 |       0.97 |               8.33333 |
| Federal Income Tax Withheld |                 100 |        99 |            1 |       0.99 |               2.77778 |
| Field Count Check           |                 100 |       100 |            0 |       1    |               0       |
| Medicare Wages and Tips     |                 100 |        99 |            1 |       0.99 |               2.77778 |
| Social Security Wages       |                 100 |        88 |           12 |       0.88 |              33.3333  |
| State 1                     |                 100 |        98 |            2 |       0.98 |               5.55556 |
| State 1 Income Tax Withheld |                 100 |        90 |           10 |       0.9  |              27.7778  |
| State 1 Wages and Tips      |                 100 |        98 |            2 |       0.98 |               5.55556 |
| State 2                     |                 100 |       100 |            0 |       1    |               0       |
| State 2 Income Tax Withheld |                 100 |       100 |            0 |       1    |               0       |
| State 2 Wages and Tips      |                 100 |       100 |            0 |       1    |               0       |
| Wages and Tips              |                 100 |        95 |            5 |       0.95 |              13.8889  |

**Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|               0 |             13 |        12 |            1 |   0.923077 |
|               1 |             13 |        11 |            2 |   0.846154 |
|               2 |             13 |        12 |            1 |   0.923077 |
|               3 |             13 |        13 |            0 |   1        |
|               4 |             13 |        11 |            2 |   0.846154 |
|               5 |             13 |        11 |            2 |   0.846154 |
|               6 |             13 |        11 |            2 |   0.846154 |
|               7 |             13 |        11 |            2 |   0.846154 |
|               8 |             13 |        12 |            1 |   0.923077 |
|               9 |             13 |        11 |            2 |   0.846154 |
|              10 |             13 |        13 |            0 |   1        |
|              11 |             13 |        12 |            1 |   0.923077 |
|              12 |             13 |        12 |            1 |   0.923077 |
|              13 |             13 |        11 |            2 |   0.846154 |
|              14 |             13 |        12 |            1 |   0.923077 |
|              15 |             13 |        12 |            1 |   0.923077 |
|              16 |             13 |        10 |            3 |   0.769231 |
|              17 |             13 |        11 |            2 |   0.846154 |
|              18 |             13 |        12 |            1 |   0.923077 |
|              19 |             13 |        13 |            0 |   1        |
|              20 |             13 |        12 |            1 |   0.923077 |
|              21 |             13 |        10 |            3 |   0.769231 |
|              22 |             13 |        12 |            1 |   0.923077 |
|              23 |             13 |        11 |            2 |   0.846154 |
|              24 |             13 |        12 |            1 |   0.923077 |
|              25 |             13 |        13 |            0 |   1        |
|              26 |             13 |        13 |            0 |   1        |
|              27 |             13 |        13 |            0 |   1        |
|              28 |             13 |        13 |            0 |   1        |
|              29 |             13 |        13 |            0 |   1        |
|              30 |             13 |        13 |            0 |   1        |
|              31 |             13 |        13 |            0 |   1        |
|              32 |             13 |        13 |            0 |   1        |
|              33 |             13 |        13 |            0 |   1        |
|              34 |             13 |        13 |            0 |   1        |
|              35 |             13 |        13 |            0 |   1        |
|              36 |             13 |        13 |            0 |   1        |
|              37 |             13 |        13 |            0 |   1        |
|              38 |             13 |        13 |            0 |   1        |
|              39 |             13 |        13 |            0 |   1        |
|              40 |             13 |        13 |            0 |   1        |
|              41 |             13 |        13 |            0 |   1        |
|              42 |             13 |        13 |            0 |   1        |
|              43 |             13 |        13 |            0 |   1        |
|              44 |             13 |        13 |            0 |   1        |
|              45 |             13 |        13 |            0 |   1        |
|              46 |             13 |        13 |            0 |   1        |
|              47 |             13 |        13 |            0 |   1        |
|              48 |             13 |        13 |            0 |   1        |
|              49 |             13 |        13 |            0 |   1        |
|              50 |             13 |        13 |            0 |   1        |
|              51 |             13 |        13 |            0 |   1        |
|              52 |             13 |        13 |            0 |   1        |
|              53 |             13 |        13 |            0 |   1        |
|              54 |             13 |        13 |            0 |   1        |
|              55 |             13 |        13 |            0 |   1        |
|              56 |             13 |        13 |            0 |   1        |
|              57 |             13 |        13 |            0 |   1        |
|              58 |             13 |        13 |            0 |   1        |
|              59 |             13 |        13 |            0 |   1        |
|              60 |             13 |        13 |            0 |   1        |
|              61 |             13 |        13 |            0 |   1        |
|              62 |             13 |        13 |            0 |   1        |
|              63 |             13 |        13 |            0 |   1        |
|              64 |             13 |        13 |            0 |   1        |
|              65 |             13 |        13 |            0 |   1        |
|              66 |             13 |        13 |            0 |   1        |
|              67 |             13 |        13 |            0 |   1        |
|              68 |             13 |        13 |            0 |   1        |
|              69 |             13 |        13 |            0 |   1        |
|              70 |             13 |        13 |            0 |   1        |
|              71 |             13 |        13 |            0 |   1        |
|              72 |             13 |        13 |            0 |   1        |
|              73 |             13 |        13 |            0 |   1        |
|              74 |             13 |        13 |            0 |   1        |
|              75 |             13 |        13 |            0 |   1        |
|              76 |             13 |        13 |            0 |   1        |
|              77 |             13 |        13 |            0 |   1        |
|              78 |             13 |        13 |            0 |   1        |
|              79 |             13 |        13 |            0 |   1        |
|              80 |             13 |        13 |            0 |   1        |
|              81 |             13 |        13 |            0 |   1        |
|              82 |             13 |        13 |            0 |   1        |
|              83 |             13 |        13 |            0 |   1        |
|              84 |             13 |        13 |            0 |   1        |
|              85 |             13 |        13 |            0 |   1        |
|              86 |             13 |        13 |            0 |   1        |
|              87 |             13 |        13 |            0 |   1        |
|              88 |             13 |        13 |            0 |   1        |
|              89 |             13 |        13 |            0 |   1        |
|              90 |             13 |        12 |            1 |   0.923077 |
|              91 |             13 |        13 |            0 |   1        |
|              92 |             13 |        13 |            0 |   1        |
|              93 |             13 |        13 |            0 |   1        |
|              94 |             13 |        13 |            0 |   1        |
|              95 |             13 |        13 |            0 |   1        |
|              96 |             13 |        13 |            0 |   1        |
|              97 |             13 |        13 |            0 |   1        |
|              98 |             13 |        13 |            0 |   1        |
|              99 |             13 |        13 |            0 |   1        |

**Form Type Summary**:
| Form Type   |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| ADP1        |                 325 |       290 |           35 |   0.892308 |              97.2222  |
| ADP2        |                 325 |       325 |            0 |   1        |               0       |
| IRS1        |                 325 |       325 |            0 |   1        |               0       |
| IRS2        |                 325 |       324 |            1 |   0.996923 |               2.77778 |
