**Overall Accuracy**: 70.75%

**Field Summary**:
| Field                       |   total_comparisons |   matches |   mismatches |   accuracy |   mismatch_percentage |
|:----------------------------|--------------------:|----------:|-------------:|-----------:|----------------------:|
| employee_name               |                 100 |        92 |            8 |       0.92 |              2.2792   |
| employer_name               |                 100 |        83 |           17 |       0.83 |              4.8433   |
| federal_income_tax_withheld |                 100 |        99 |            1 |       0.99 |              0.2849   |
| medicare_wages_and_tips     |                 100 |        91 |            9 |       0.91 |              2.5641   |
| social_security_wages       |                 100 |        92 |            8 |       0.92 |              2.2792   |
| state_1                     |                 100 |        45 |           55 |       0.45 |             15.6695   |
| state_1_income_tax_withheld |                 100 |        49 |           51 |       0.49 |             14.5299   |
| state_1_wages_and_tips      |                 100 |        50 |           50 |       0.5  |             14.245    |
| state_2                     |                 100 |        50 |           50 |       0.5  |             14.245    |
| state_2_income_tax_withheld |                 100 |        50 |           50 |       0.5  |             14.245    |
| state_2_wages_and_tips      |                 100 |        50 |           50 |       0.5  |             14.245    |
| wages_and_tips              |                 100 |        98 |            2 |       0.98 |              0.569801 |

**Sample Summary**:
|   Comparison ID |   total_fields |   matches |   mismatches |   accuracy |
|----------------:|---------------:|----------:|-------------:|-----------:|
|               0 |             12 |        10 |            2 |   0.833333 |
|               1 |             12 |        11 |            1 |   0.916667 |
|               2 |             12 |        12 |            0 |   1        |
|               3 |             12 |        12 |            0 |   1        |
|               4 |             12 |        12 |            0 |   1        |
|               5 |             12 |        10 |            2 |   0.833333 |
|               6 |             12 |        12 |            0 |   1        |
|               7 |             12 |        12 |            0 |   1        |
|               8 |             12 |        12 |            0 |   1        |
|               9 |             12 |        10 |            2 |   0.833333 |
|              10 |             12 |        12 |            0 |   1        |
|              11 |             12 |        12 |            0 |   1        |
|              12 |             12 |        12 |            0 |   1        |
|              13 |             12 |        12 |            0 |   1        |
|              14 |             12 |        10 |            2 |   0.833333 |
|              15 |             12 |        12 |            0 |   1        |
|              16 |             12 |        12 |            0 |   1        |
|              17 |             12 |        12 |            0 |   1        |
|              18 |             12 |         9 |            3 |   0.75     |
|              19 |             12 |        12 |            0 |   1        |
|              20 |             12 |        11 |            1 |   0.916667 |
|              21 |             12 |        12 |            0 |   1        |
|              22 |             12 |        12 |            0 |   1        |
|              23 |             12 |        12 |            0 |   1        |
|              24 |             12 |        12 |            0 |   1        |
|              25 |             12 |        12 |            0 |   1        |
|              26 |             12 |        12 |            0 |   1        |
|              27 |             12 |        12 |            0 |   1        |
|              28 |             12 |        12 |            0 |   1        |
|              29 |             12 |        12 |            0 |   1        |
|              30 |             12 |        12 |            0 |   1        |
|              31 |             12 |        12 |            0 |   1        |
|              32 |             12 |        10 |            2 |   0.833333 |
|              33 |             12 |        12 |            0 |   1        |
|              34 |             12 |        11 |            1 |   0.916667 |
|              35 |             12 |        12 |            0 |   1        |
|              36 |             12 |        12 |            0 |   1        |
|              37 |             12 |        12 |            0 |   1        |
